NRM.SG,INSURANCE AUST GRP,STU,Germany,Property & Casualty Insurance,432,,
JAYBARMAR.NS,Jay Bharat Maruti Limited,NSI,India,Auto Parts,333,,
LCDX,"Caliber Imaging & Diagnostics, Inc.",PNK,USA,Medical Appliances & Equipment,521,,
JIX.F,JIANGXI COPPER -H-,FRA,Germany,Industrial Metals & Minerals,133,,
QUS.F,QUESTAR CORP,FRA,Germany,Gas Utilities,912,,
GTOMY,Gemalto NV,PNK,USA,,0,,
DIP0.BA,ARGENTINA(REP OF) 5.83% DISC NT,BUE,Argentina,,0,,
KIN2.DE,Kinross Gold Corporation,GER,Germany,Gold,134,,
HSPG.OL,Høland og Setskog Sparebank,OSL,Norway,Money Center Banks,410,,
ZNHH.BE,CHINA SOUTHN AIR-H-,BER,Germany,Major Airlines,770,,
EFII,"Electronics for Imaging, Inc.",NMS,USA,Computer Peripherals,815,,
UTG.L,Unite Group plc,LSE,UK,Property Management,448,,
MJNA,"Medical Marijuana, Inc.",PNK,USA,,0,,
QSC.DE,QSC  AG,GER,Germany,Wireless Communications,840,,
PFH,Cabco Tr Jcp 7.625 Common Stock,NYQ,USA,,0,,
GOI3.F,FDG ELECTRIC VEHICL,FRA,Germany,,0,,
NHLD,National Holdings Corporation,NCM,Australia,Investment Brokerage - Regional,421,,
3709.HK,Koradior Holdings Limited,HKG,Hong Kong,,0,,
CVI,"CVR Energy, Inc.",NYQ,USA,Oil & Gas Refining & Marketing,122,,
KEL.TO,Kelt Exploration Ltd.,TOR,Canada,Independent Oil & Gas,121,,
AAV.TO,Advantage Oil & Gas Ltd.,TOR,Canada,Independent Oil & Gas,121,,
PAR.ST,PA Resources AB,STO,Sweden,,0,,
TNK,Teekay Tankers Ltd.,NYQ,USA,Shipping,775,,
CH1A.SG,C.H.ROBINSON WLDWDE,STU,Germany,Air Delivery & Freight Services,773,,
PLI.TO,ProMetic Life Sciences Inc.,TOR,Canada,Biotechnology,515,,
SGMO,Sangamo Biosciences Inc.,NMS,USA,Biotechnology,515,,
DU4.SI,Mermaid Maritime Public Company Limited,SES,Singapore,Oil & Gas Equipment & Services,124,,
MTP,Midatech Pharma Plc,NCM,Australia,,0,,
UMPQ,Umpqua Holdings Corporation,NMS,USA,Regional - Pacific Banks,416,,
GRBS,Greer Bancshares Incorporated,PNK,USA,Savings & Loans,419,,
71942P.TWO,YUANTA SECURITIES P/W 16/10/15(,TWO,Taiwan,,0,,
UBK.HM,UMWELTBANK ,HAM,Germany,,0,,
DOR.L,DORIEMUS,LSE,UK,,0,,
WSMTF,Westminster Group Plc,PNK,USA,,0,,
LEON,"Leone Asset Management, Inc.",PNK,USA,,0,,
YX3F.EX,YOOX NETAPORT,EUX,Germany,,0,,
XCIA.F,CHINA UN HK SP ADR,FRA,Germany,Wireless Communications,840,,
VLE.MU,VALERO ENERGY,MUN,Germany,Oil & Gas Refining & Marketing,122,,
FTS-PK.TO,FORTIS INC PREF SERIES K,TOR,Canada,,0,,
XHSA.DU,HOMESERVE,DUS,Germany,Business Services,760,,
ZIM.BE,ZIMMER BIOMET HLDGS,BER,Germany,Medical Appliances & Equipment,521,,
NONOF,Novo Nordisk A/S,PNK,USA,,0,,
C-PP,Citigroup Inc. Dep Shs Repstg 1,NYQ,USA,,0,,
721997.TWO,YUANTA SECURITIES C/W 07/07/16(,TWO,Taiwan,,0,,
ITC.TO,Intrinsyc Technologies Corporation,TOR,Canada,Technical & System Software,822,,
EGY,Vaalco Energy Inc.,NYQ,USA,Independent Oil & Gas,121,,
VV0.F,VICTORY VENTURES,FRA,Germany,,0,,
721669.TWO,YUANTA SECURITIES C/W 16/05/16(,TWO,Taiwan,,0,,
KURA,"Kura Oncology, Inc.",NMS,USA,,0,,
8092.TWO,CHIEN WEI PRECISE TWD10,TWO,Taiwan,,0,,
WDI.SW,WIRECARD,EBS,Austria,,0,,
RVTI,Rival Technologies Inc.,PNK,USA,,0,,
SSS,Sovran Self Storage Inc.,NYQ,USA,REIT - Industrial,444,,
JE9N.F,ARIANNE PHOSPHATE,FRA,Germany,Industrial Metals & Minerals,133,,
ZCT1.DE,Zimtu Capital Corp.,GER,Germany,Asset Management,422,,
4GN.MU,WAL-MART-V,MUN,Germany,"Discount, Variety Stores",732,,
FGOVF,Freegold Ventures Ltd.,PNK,USA,,0,,
ONFC,Oneida Financial Corp.,NGM,Sweden,,0,,
SHL.AX,Sonic Healthcare Limited,ASX,Australia,Hospitals,524,,
5264.TW,Casetek Holdings Limited,TAI,Taiwan,,0,,
MBUMY,Mabuchi Motor Co. Ltd.,PNK,USA,,0,,
AAH3.BE,AHLERS VZ,BER,Germany,Textile - Apparel Clothing,320,,
GLUX,"Great Lakes Aviation, Ltd.",PNK,USA,Regional Airlines,771,,
NIK.V,Nikos Explorations Ltd.,VAN,Canada,Industrial Metals & Minerals,133,,
HARI,"Harvard Illinois Bancorp, Inc.",PNK,USA,Regional - Midwest Banks,414,,
ENDV,"Endonovo Therapeutics, Inc.",PNK,USA,Mortgage Investment,447,,
CDOM,"Tiger X Medical, Inc.",PNK,USA,Management Services,769,,
QTM.AX,Quantum Energy Ltd.,ASX,Australia,Home Furnishings & Fixtures,311,,
SERV,"ServiceMaster Global Holdings, Inc.",NYQ,USA,Business Services,760,,
STIE,Santaro Interactive Entertainment Company,PNK,USA,Multimedia & Graphics Software,820,,
